veiculo_id,placa,marca,modelo,ano_fabricacao,tipo,capacidade_kg,capacidade_paletes,km_atual,status,data_ultima_revisao
VEI-0001,PFX4S35,Volvo,VM 270,2025,Carreta LS,41500,30,768660,ativo,2025-08-16
VEI-0002,XNY3W49,DAF,XF 530,2025,Carreta LS,41500,30,580249,ativo,2026-01-29
VEI-0003,RHU8X37,Iveco,Tector,2018,Carreta LS,41500,30,441919,inativo,2025-10-26
VEI-0004,NQX5T35,Mercedes-Benz,Actros 2651,2021,Carreta Simples,33000,25,351293,ativo,2026-04-14
VEI-0005,JRW4K74,MAN,TGX 29.520,2016,Caminhão Truck,23000,14,344730,ativo,2025-11-03
VEI-0006,XYG5W27,Scania,R 450,2023,Caminhão Truck,23000,14,222957,ativo,2026-01-27
VEI-0007,OWU2E97,Iveco,Tector,2023,VUC,6500,3,739378,ativo,2025-11-07
VEI-0008,NBY7L40,Volvo,FH 540,2018,Caminhão Truck,23000,14,377300,ativo,2025-12-13
VEI-0009,ODX3X19,Iveco,S-Way,2022,Carreta LS,41500,30,326013,ativo,2025-06-16
VEI-0010,KMK2L75,MAN,TGX 29.520,2022,Caminhão Truck,23000,14,244080,ativo,2026-02-11
VEI-0011,KNN1K39,Iveco,Tector,2017,Carreta LS,41500,30,68475,ativo,2025-11-20
VEI-0012,NHG9B31,Scania,R 450,2023,Caminhão Truck,23000,14,179906,ativo,2026-01-26
VEI-0013,INVALIDA,DAF,CF 85,2017,Caminhão Toco,14000,8,580724,ativo,2025-08-21
VEI-0014,SZW9N36,DAF,CF 85,2019,VUC,6500,3,685860,ativo,2025-12-07
VEI-0015,KUT7Y63,Mercedes-Benz,Actros 2651,2025,Caminhão Truck,23000,14,633255,ativo,2025-07-20
VEI-0016,OLE5G96,Volvo,FH 540,2017,VUC,6500,3,13065,ativo,2025-09-08
VEI-0017,TUE6I52,DAF,XF 530,2016,Carreta LS,41500,30,21168,ativo,2025-09-15
VEI-0018,KKW1W27,Volvo,FH 460,2022,Bitrem,57000,37,193452,ativo,2025-10-14
VEI-0019,FVW5Y30,Mercedes-Benz,Atego 2430,2025,Carreta LS,41500,30,49096,ativo,2026-03-08
VEI-0020,KGS4V39,Mercedes-Benz,Actros 2651,2016,VUC,6500,3,133348,ativo,2025-05-20
VEI-0021,FAE6O81,Iveco,Tector,2020,Bitrem,57000,37,177123,ativo,2026-01-09
VEI-0022,LHC3G80,MAN,TGX 29.520,2018,Bitrem,57000,37,316009,em_manutencao,2026-02-14
VEI-0023,HWO3T40,DAF,XF 530,2024,Carreta Simples,33000,25,385447,ativo,2025-08-01
VEI-0024,QNV0N42,Iveco,S-Way,2024,Carreta LS,41500,30,409068,em_manutencao,2025-07-09
VEI-0025,CJJ8I38,MAN,TGX 29.520,2017,Caminhão Truck,23000,14,496071,ativo,2025-06-15
VEI-0026,VXI0Q86,MAN,TGX 29.520,2021,Carreta LS,41500,30,686026,ativo,2025-06-02
VEI-0027,GGZ4M14,MAN,TGX 29.520,2025,Caminhão Toco,14000,8,681162,ativo,2025-06-30
VEI-0028,HKL1Y69,Mercedes-Benz,Atego 2430,2020,VUC,6500,3,140229,ativo,2026-01-09
VEI-0029,ZBS3V31,MAN,TGX 29.520,2025,Caminhão Truck,23000,14,319811,ativo,2025-11-12
VEI-0030,XXU5C80,Mercedes-Benz,Actros 2651,2021,Carreta Simples,33000,25,798449,ativo,2025-06-09
VEI-0031,BQE2G99,Scania,R 450,2024,Carreta Simples,33000,25,459352,ativo,2026-03-24
VEI-0032,TCQ6F77,Iveco,S-Way,2017,Bitrem,57000,37,450816,ativo,2025-07-22
VEI-0033,SZX0F97,Mercedes-Benz,Atego 2430,2024,Bitrem,57000,37,307437,ativo,2025-06-25
VEI-0034,ETD4Z35,DAF,XF 530,2024,Caminhão Toco,14000,8,-201014,ativo,2026-04-07
VEI-0035,RZT1U95,Iveco,Tector,2017,VUC,6500,3,513042,ativo,2025-05-08
VEI-0036,DRF4R72,Iveco,S-Way,2024,Carreta Simples,33000,25,317595,ativo,2026-01-07
VEI-0037,ADI0A27,Scania,R 500,2021,Carreta Simples,33000,25,662741,ativo,2025-07-02
VEI-0038,DUT4V68,Scania,R 450,2018,Carreta Simples,33000,25,566561,ativo,2025-12-09
VEI-0039,GSG5U11,Volvo,VM 270,2018,VUC,6500,3,484300,ativo,2025-07-05
VEI-0040,FPK8I62,Iveco,S-Way,2025,VUC,6500,3,759607,ativo,2026-01-20
VEI-0041,UOW7Z67,Mercedes-Benz,Atego 2430,2022,Carreta LS,41500,30,772568,ativo,2026-02-22
VEI-0042,MSO5N90,Scania,R 500,2017,Caminhão Toco,14000,8,571513,em_manutencao,2025-11-30
VEI-0043,EGF6J74,Iveco,S-Way,2022,Carreta Simples,33000,25,681652,ativo,2025-09-19
VEI-0044,YFL3O11,Volvo,VM 270,2018,Carreta LS,41500,30,26340,ativo,2026-01-03
VEI-0045,DKV4A55,Volvo,VM 270,2016,Caminhão Toco,14000,8,97059,ativo,
VEI-0046,YQN6V67,MAN,TGX 29.520,2024,Bitrem,57000,37,661249,ativo,2026-04-19
VEI-0047,GTO5R66,Mercedes-Benz,Atego 2430,2019,Caminhão Toco,14000,8,70788,ativo,2025-10-25
VEI-0048,ZBN2K90,Volvo,FH 540,2017,Caminhão Truck,23000,14,499459,ativo,2025-04-30
VEI-0049,KRI6V76,Mercedes-Benz,Actros 2651,2024,VUC,6500,3,289173,em_manutencao,2026-01-20
VEI-0050,HTD2Z45,Mercedes-Benz,Atego 2430,2016,Caminhão Truck,23000,14,442586,ativo,2026-03-02
VEI-0051,CEF4A79,DAF,CF 85,2017,Carreta LS,41500,30,284474,ativo,2026-03-08
VEI-0052,JIP2F68,Volvo,VM 270,2024,Caminhão Truck,23000,14,120391,ativo,2025-09-06
VEI-0053,ONP5T88,Scania,P 320,2025,Carreta LS,41500,30,559556,ativo,2025-08-24
VEI-0054,BYD5D15,Iveco,Tector,2024,Carreta LS,41500,30,330468,ativo,2025-09-07
VEI-0055,UFQ7W54,DAF,CF 85,2022,VUC,6500,3,554626,em_manutencao,2025-05-31
VEI-0056,VNA3Z92,Scania,R 450,2023,Bitrem,57000,37,306053,ativo,2026-03-26
VEI-0057,IHD1K29,Iveco,Tector,2021,Bitrem,57000,37,207764,ativo,2025-11-11
VEI-0058,SEG2S20,Iveco,Tector,2018,VUC,6500,3,280291,ativo,2025-11-26
VEI-0059,NDT7W33,Iveco,Tector,2021,VUC,6500,3,472055,ativo,2026-01-07
VEI-0060,NRF0Y23,Iveco,S-Way,2019,Caminhão Truck,23000,14,631557,ativo,2025-07-20
VEI-0061,AQD8G39,Iveco,Tector,2017,Caminhão Toco,14000,8,634615,ativo,2025-09-12
VEI-0062,SNO0S19,MAN,TGX 29.520,2020,Carreta LS,41500,30,789859,ativo,2026-02-09
VEI-0063,UHR4Y94,Volvo,VM 270,2017,Carreta LS,41500,30,141001,em_manutencao,2025-08-11
VEI-0064,ISL5O37,Mercedes-Benz,Actros 2651,2018,Caminhão Truck,23000,14,147944,ativo,2025-12-16
VEI-0065,MMY3J73,DAF,CF 85,2025,VUC,6500,3,366849,ativo,2025-08-21
VEI-0066,QHH3Y90,Mercedes-Benz,Atego 2430,2025,Carreta Simples,33000,25,18696,ativo,2026-02-15
VEI-0067,HNZ5O16,Iveco,S-Way,2024,Caminhão Truck,23000,14,595852,ativo,2025-11-22
VEI-0068,JVV4G26,Iveco,Tector,2025,VUC,6500,3,711176,ativo,2025-10-15
VEI-0069,RBI2M97,Volvo,FH 540,2022,Caminhão Truck,23000,14,404840,ativo,2026-02-23
VEI-0070,GIN3Q40,MAN,TGX 33.480,2017,Bitrem,57000,37,700993,inativo,2025-06-15
VEI-0071,KJW0R45,DAF,CF 85,2016,Carreta Simples,33000,25,53016,ativo,2026-02-15
VEI-0072,EYC9Q74,Mercedes-Benz,Atego 2430,2018,Bitrem,57000,37,24430,ativo,2025-07-16
VEI-0073,TIJ6H87,MAN,TGX 29.520,2020,Carreta Simples,33000,25,651746,em_manutencao,2025-12-20
VEI-0074,MXJ1F53,Volvo,FH 460,2016,Carreta LS,41500,30,97535,ativo,2026-04-14
VEI-0075,PZL9A15,Mercedes-Benz,Actros 2651,2024,VUC,6500,3,513159,ativo,2025-12-01
VEI-0076,MWC2Y35,Iveco,S-Way,2025,Carreta LS,41500,30,231234,ativo,2026-01-16
VEI-0077,EDN7T17,DAF,CF 85,2025,Caminhão Toco,14000,8,24136,inativo,2025-08-23
VEI-0078,YCY3S88,Iveco,Tector,2024,Carreta Simples,33000,25,426645,ativo,2025-07-29
VEI-0079,ZUY1I60,MAN,TGX 29.520,2016,Caminhão Toco,14000,8,640314,ativo,2025-12-28
VEI-0080,QGZ4N16,MAN,TGX 29.520,2022,Carreta LS,41500,30,734968,ativo,2025-06-27
VEI-0081,WPI2C14,Mercedes-Benz,Actros 2651,2019,Carreta LS,41500,30,783755,ativo,2025-10-13
VEI-0082,DSI1E49,Mercedes-Benz,Actros 2651,2025,Carreta Simples,33000,25,502198,ativo,2026-01-26
VEI-0083,ZSU1D14,Mercedes-Benz,Actros 2651,2016,Carreta Simples,33000,25,483692,ativo,2025-07-17
VEI-0084,SHF8J94,Iveco,S-Way,2021,VUC,6500,3,-691723,ativo,2025-12-20
VEI-0085,EWZ3M85,DAF,CF 85,2016,Caminhão Toco,14000,8,301253,inativo,2026-01-03
VEI-0086,EKN5K56,Mercedes-Benz,Actros 2651,2023,Bitrem,57000,37,260847,ativo,2025-12-13
VEI-0087,KRY2H33,Mercedes-Benz,Atego 2430,2016,Caminhão Toco,14000,8,717028,ativo,2025-05-04
VEI-0088,IME1S66,Mercedes-Benz,Actros 2651,2016,VUC,6500,3,796603,ativo,2025-08-02
VEI-0089,QZI0G94,Iveco,S-Way,2018,Carreta LS,41500,30,785697,ativo,2026-03-14
VEI-0090,REW9N99,DAF,XF 530,2022,VUC,6500,3,734573,ativo,2026-01-23
VEI-0091,GEE1V24,DAF,XF 530,2022,Carreta Simples,33000,25,335397,ativo,2026-01-05
VEI-0092,IAU1T40,Volvo,FH 460,2020,Caminhão Truck,23000,14,482002,em_manutencao,2025-12-31
VEI-0093,NQN6B88,Volvo,VM 270,2021,Carreta LS,41500,30,416145,ativo,2025-10-17
VEI-0094,IWL3O95,Iveco,S-Way,2021,VUC,6500,3,248430,em_manutencao,2025-09-01
VEI-0095,INVALIDA,Scania,R 450,1999,VUC,6500,3,667358,ativo,2026-03-24
VEI-0096,INVALIDA,Volvo,FH 540,2023,Carreta Simples,33000,25,739894,ativo,2025-07-04
VEI-0097,UPU4L16,DAF,CF 85,2018,Carreta Simples,33000,25,625311,ativo,2025-10-28
VEI-0098,LFC7Q93,MAN,TGX 29.520,2018,VUC,6500,3,627745,ativo,2026-01-21
VEI-0099,RIG5F48,Mercedes-Benz,Atego 2430,2017,VUC,6500,3,167419,ativo,2025-10-04
VEI-0100,KTA8E50,Iveco,S-Way,2021,Bitrem,57000,37,706208,ativo,2026-01-21
VEI-0101,NBJ0Y23,MAN,TGX 29.520,2020,VUC,6500,3,307386,inativo,2025-12-23
VEI-0102,CWC1V84,Volvo,FH 460,2016,VUC,6500,3,129899,ativo,2025-10-19
VEI-0103,GQQ5V11,DAF,XF 530,2017,Caminhão Truck,23000,14,262410,inativo,2026-01-26
VEI-0104,HVU4V20,DAF,CF 85,2025,Carreta LS,41500,30,570807,ativo,2025-08-19
VEI-0105,QUJ7P47,Volvo,FH 460,2024,Carreta LS,41500,30,712706,inativo,2025-08-12
VEI-0106,BVG9V54,Mercedes-Benz,Actros 2651,2019,Bitrem,57000,37,463479,inativo,2026-01-18
VEI-0107,PWH7J99,Iveco,S-Way,2024,Caminhão Toco,14000,8,733206,ativo,2025-12-20
VEI-0108,KIK4B15,Volvo,FH 460,2021,Bitrem,57000,37,225227,ativo,2025-06-17
VEI-0109,RZR6I44,Volvo,FH 540,2017,Caminhão Toco,14000,8,373647,inativo,2025-08-31
VEI-0110,EBL0A65,MAN,TGX 29.520,2022,Bitrem,57000,37,670450,em_manutencao,2025-12-10
VEI-0111,YKG2F98,Scania,R 450,2022,Caminhão Truck,23000,14,676717,ativo,2026-04-04
VEI-0112,ZOQ3B35,Mercedes-Benz,Actros 2651,2025,Carreta LS,41500,30,549027,ativo,2026-04-22
VEI-0113,DZP7U19,DAF,CF 85,2025,Caminhão Toco,14000,8,459001,em_manutencao,2025-08-01
VEI-0114,BNG3V62,DAF,CF 85,2018,Caminhão Toco,14000,8,312586,ativo,2025-06-14
VEI-0115,LAO0L53,Volvo,VM 270,2022,Caminhão Truck,23000,14,253770,ativo,2026-01-26
VEI-0116,HDK0T22,Mercedes-Benz,Atego 2430,2019,Bitrem,57000,37,190438,em_manutencao,2025-10-08
VEI-0117,AXV9T46,Iveco,Tector,2025,Caminhão Truck,23000,14,15507,ativo,2026-02-24
VEI-0118,QNW1U45,DAF,CF 85,2024,Caminhão Toco,14000,8,714952,ativo,2026-02-04
VEI-0119,GED7Q33,Scania,P 320,2017,Bitrem,57000,37,686108,ativo,2026-04-26
VEI-0120,NPM3P28,DAF,CF 85,2017,Caminhão Toco,14000,8,267800,ativo,2025-10-09
VEI-0121,HBW2O57,Mercedes-Benz,Actros 2651,2016,Caminhão Truck,23000,14,398472,ativo,2026-02-28
VEI-0122,UQC0I99,Scania,R 450,2018,Caminhão Toco,14000,8,681807,ativo,2026-03-21
VEI-0123,YDL9U79,MAN,TGX 29.520,2022,VUC,6500,3,573984,em_manutencao,2026-03-10
VEI-0124,LCK9Z46,DAF,CF 85,2017,Carreta LS,41500,30,579926,em_manutencao,2025-10-21
VEI-0125,SPX1Y79,MAN,TGX 33.480,2025,Caminhão Toco,14000,8,208309,em_manutencao,2026-02-10
VEI-0126,ZIU0N19,Scania,R 450,1999,Carreta Simples,33000,25,705700,ativo,2026-01-16
VEI-0127,MQU0I64,Volvo,VM 270,2017,Caminhão Truck,23000,14,693172,ativo,2026-03-23
VEI-0128,AHQ8W83,Scania,R 500,2017,VUC,6500,3,70400,ativo,2026-01-12
VEI-0129,NFY1E86,Mercedes-Benz,Actros 2651,2020,Caminhão Toco,14000,8,232128,ativo,2025-07-05
VEI-0130,ZAI6B84,Iveco,S-Way,2023,VUC,6500,3,116490,ativo,2025-06-05
VEI-0131,FHH2Q56,MAN,TGX 29.520,2016,Caminhão Truck,23000,14,407114,inativo,2025-08-05
VEI-0132,CEB0I81,Scania,R 450,2023,Caminhão Toco,14000,8,488560,ativo,2026-03-28
VEI-0133,LCQ9L19,DAF,XF 530,2018,Caminhão Truck,23000,14,87485,ativo,2025-11-17
VEI-0134,DLI6Z21,Iveco,S-Way,2021,Caminhão Toco,14000,8,78839,inativo,2025-05-01
VEI-0135,ZSQ4Y25,Mercedes-Benz,Actros 2651,2024,Bitrem,57000,37,457008,ativo,2025-11-09
VEI-0136,OTY1H26,Scania,R 450,1999,Bitrem,57000,37,647018,ativo,2026-02-07
VEI-0137,VYE4Y73,MAN,TGX 33.480,2018,VUC,6500,3,455725,em_manutencao,2026-03-10
VEI-0138,IRA5O76,Iveco,S-Way,2017,Carreta Simples,33000,25,700145,ativo,
VEI-0139,HLO0B26,Mercedes-Benz,Atego 2430,2022,VUC,6500,3,21332,ativo,2025-06-19
VEI-0140,KCS7Y13,MAN,TGX 29.520,2019,Caminhão Truck,23000,14,670714,ativo,2025-06-10
VEI-0141,INVALIDA,Mercedes-Benz,Actros 2651,2023,Caminhão Toco,14000,8,169114,ativo,2025-07-19
VEI-0142,YCF6U16,Scania,P 320,2021,Bitrem,57000,37,372069,ativo,2025-10-14
VEI-0143,WGH7P36,Iveco,Tector,2023,Bitrem,57000,37,57307,ativo,2026-02-24
VEI-0144,TSC8Y79,Mercedes-Benz,Actros 2651,2019,Carreta Simples,33000,25,19826,ativo,2025-12-22
VEI-0145,YQY6M81,Volvo,VM 270,2023,Bitrem,57000,37,612284,ativo,2025-11-04
VEI-0146,UWW3E19,Iveco,Tector,2021,Bitrem,57000,37,656683,ativo,2025-07-24
VEI-0147,XGE1P70,Iveco,Tector,2019,Caminhão Truck,23000,14,574527,ativo,2025-05-04
VEI-0148,XEI1N69,Volvo,FH 460,2020,Caminhão Toco,14000,8,350935,ativo,2025-12-31
VEI-0149,HVN2M29,Iveco,Tector,2020,Bitrem,57000,37,421823,ativo,2026-02-24
VEI-0150,FMM4O99,Mercedes-Benz,Actros 2651,2021,VUC,6500,3,668994,ativo,2026-04-01
